gene_name CTL_gene_expr1 CTL_gene_expr2 M3KD_gene_expr1 M3KD_gene_expr2 untreated_IP1 untreated_IP2 treated_IP1 treated_IP2
DDX24 3916 3371 4096 4126 1.37 1.4 1 1.01
CASC5 1744 1451 1248 1233 1.95 2.09 2.35 2.25
PNPLA2 935 784 1150 1151 1.72 1.66 1.02 1.07
LYRM4 562 455 390 388 2.04 1.73 0.95 1.24
RGL3 469 370 641 583 2.02 2.03 1.13 1.22
SALL4 134 71 221 215 0.63 0.77 0.35 0.4
ZNFX1 2413 2115 3396 3289 1.77 1.63 1.69 1.53
SEPN1 1679 1547 2288 2305 1.85 1.86 1.16 1.32
THAP11 382 310 567 619 3.67 3.44 2.96 2.85
LYRM2 492 443 367 369 1.68 1.54 2.3 2.15
PTBP1 9020 7756 9473 9569 0.13 0.15 0.16 0.16
PBXIP1 1692 1478 3043 3024 2.35 2.15 1.1 1.06
RCN3 1913 1621 2622 2763 1.48 1.53 1.04 1.06
NDRG3 2452 2009 1546 1499 1.44 1.52 1.54 1.42
REXO1 848 703 1100 1146 1.4 1.29 1.77 1.9
KIAA1143 940 848 750 703 0.86 0.87 1.52 1.54
CNOT6 1550 1283 906 846 2.22 2.35 1.63 1.67
ZNF512B 2117 1896 3452 3431 1.31 1.28 0.75 0.46
KIAA1211 2126 1910 3013 3046 1.27 1.14 0.43 0.58
ODF2L 1846 1548 1530 1433 0.43 0.68 0.6 0.8
AHRR 3060 2683 4114 4268 2.34 2.38 1.92 1.8
RIMKLB 1353 1097 1059 1003 2.68 2.79 3.28 3.02
MKL2 1180 1025 1386 1393 0.65 0.58 0.43 0.52
KIDINS220 1639 1363 1802 1748 0.81 0.79 1.19 1
STARD9 1002 808 1103 1060 1.86 1.69 2.1 2.62
PTMA 18675 16133 18933 19247 0.21 0.18 0.42 0.35
PREX1 1417 1217 1573 1600 2.94 2.55 2.09 1.95
ARHGAP21 6681 5619 8228 7947 1.38 1.45 1.51 1.46
MKL1 880 726 1355 1350 2.62 3.22 2.31 2.24
BAHCC1 2084 1947 3561 3627 1.56 1.72 1.03 0.9
USP36 2877 2533 3205 3134 1.91 1.69 1.04 1.1
SLAIN2 1260 1168 852 838 0.34 0.11 0.37 0.75
KIAA1462 172 151 357 342 1.22 1.34 2.42 3.5
PTMS 9261 8026 10581 10745 0.79 0.81 0.71 0.74
EP400 4132 3580 4824 4870 0.61 0.54 0.19 0.31
ZSWIM5 246 198 331 397 2.23 1.93 4.06 3.2
KIAA1522 2300 1955 3282 3349 0.87 0.91 0.39 0.53
PHF12 1357 1136 2003 1940 2.14 2.04 1.5 1.56
UVSSA 589 508 731 763 2.05 1.87 1.3 1.38
CALCOCO1 865 776 1668 1587 1.96 2.17 1.41 1.27
RNF213 12909 11220 16286 16248 2.21 2.27 1.78 1.72
ZNF317 964 766 1119 1113 2.49 2.65 2.83 2.81
NCKAP5L 942 900 1620 1642 1.2 1.12 0.87 0.89
MIER1 411 358 242 283 1.88 1.73 2.21 2.1
PTPN3 969 848 1389 1574 2.13 1.68 1.29 1.12
TRIB3 812 700 614 572 2.54 2.43 2.02 2.01
RAP2C 695 581 410 394 0.95 0.9 1.06 0.95
PTPN14 4429 3789 2239 2176 0.25 0.27 0.25 0.25
PTPRJ 1827 1492 1383 1379 2.12 1.71 1.3 1.4
PEX19 884 704 424 409 0.35 0.22 0.41 0.57
PXN 2573 2178 2934 3077 1.76 1.9 1.29 1.15
SCAF1 1658 1493 2887 2985 1.94 1.95 1.38 1.49
KMT2C 2852 2432 3719 3760 1.32 1.45 1.54 1.52
RAB1A 1715 1420 1219 1199 2.09 2.16 1.88 0.96
BCAT2 1455 1218 1081 1191 0.12 0.18 0.32 0.35
RALGDS 1218 1051 1398 1375 1.04 0.6 1.38 1.21
RANBP2 2819 2455 2948 2984 1.41 1.32 0.71 0.65
KDM5A 1698 1455 2067 1989 1.63 1.53 0.96 1.12
CCND1 1969 1732 2264 2244 0.83 0.53 0.2 0.1
RCN1 7340 6135 4586 4522 1.21 1.09 1.21 1.13
RELA 1217 1068 1458 1434 2.07 1.79 1.47 1.41
REST 1269 1186 1702 1674 2.59 2.17 2.63 2.44
BCL2L1 1152 1083 1538 1516 1.3 1.16 0.73 0.92
RING1 1036 941 1743 1800 1.7 1.85 1.12 1.07
BCL3 631 534 1016 1012 1.78 2.15 1.05 1.17
BRD2 7392 6192 8553 8609 1.75 1.78 1.28 1.27
RNF6 886 681 559 592 0.79 0.9 1.24 1.07
FASTKD5 337 259 212 215 1.95 1.94 2.12 2.11
ATG101 568 509 636 668 2.4 2.38 1.72 1.53
FKBP10 3584 3100 3646 3666 1.71 1.74 1.22 1.29
RPL4 38888 32658 30096 29577 0.77 0.75 0.73 0.69
RPL19 20365 17682 17997 17929 0.42 0.42 0.49 0.47
RPL29 15790 13602 13689 13487 1 0.87 0.46 0.49
RPS6KB1 1104 991 662 700 2.07 1.69 2.23 1.97
RRBP1 5214 4844 9325 10136 1.38 1.42 0.63 0.93
RXRA 2252 2004 3505 3466 2.33 2.15 1.5 1.54
RXRB 1172 1021 1268 1323 1.51 1.54 0.94 0.92
S100A4 2896 2470 3120 3091 0.79 0.8 0.5 0.49
S100A6 3999 3593 3154 3113 0.89 0.83 0.54 0.56
S100P 582 461 883 876 1.14 1.26 0.86 0.83
BICD1 973 836 1341 1404 1.76 1.7 2.1 2.1
KIF13A 4205 3440 5165 5013 1.99 1.96 1.32 1.36
SECTM1 292 242 825 822 2.14 2.34 1.64 1.74
SEMA3F 893 753 1419 1421 2.32 2.41 1.86 1.67
PERP 2782 2224 1334 1298 1.3 1.49 0.59 0.66
GAL3ST2 23 22 51 52 1.61 1.13 2.97 3.15
SMOC1 9788 8261 12765 12903 1.04 1.36 0.5 0.36
IRF2BPL 641 520 1108 1056 2.66 2.85 1.96 2.18
PJA1 606 535 909 846 1.26 1.47 1.79 1.75
TOR3A 451 395 327 313 2.47 2.37 2.75 2.54
MLST8 1765 1551 1873 1889 1.87 1.85 1.4 1.21
SRSF1 4979 4177 2897 2785 0.17 0.29 0.34 0.25
SRSF3 4261 3563 2474 2404 0.12 0.11 0.42 0.34
FBRS 884 726 1236 1262 1.21 1.17 0.92 0.47
RNF25 250 252 362 371 2.45 1.97 1.45 1.59
LMBR1 1604 1410 955 946 2.42 2.04 1.69 1.7
KIAA0754 1364 1202 2146 2144 0.78 0.83 1.04 1.01
LOC643406 1819 1590 1266 1175 0.4 0.35 0.67 0.79
NXN 2052 1841 2368 2393 1.4 1.25 0.55 0.48
MPP5 1482 1307 1178 1071 1.45 1.21 1.65 1.5
INF2 3771 3283 5421 5539 0.77 1.16 1.66 1.04
MRPS25 1722 1416 1142 1139 2.08 2.12 1.36 1.29
SMIM10 1565 1319 1226 1267 1.41 1.46 1.76 1.71
SGK1 10479 8916 5184 4977 1.6 1.56 1.09 1.19
SH3BP2 2227 1972 2376 2347 0.96 0.98 0.73 0.76
LPPR2 892 725 1277 1300 1.02 1.17 0.55 0.74
C16orf58 1437 1201 1624 1745 1.18 1.46 0.85 0.78
MARC1 3052 2457 2340 2332 1.84 1.83 1.43 1.43
SIAH2 611 504 450 450 2.46 2.76 2.93 2.61
RBM15 1556 1387 1965 2016 0.34 0.31 0.13 0.17
DDX31 931 789 611 642 0.28 0.3 0.33 0.34
LINC00657 5732 4706 3489 3443 2.48 2.39 2.42 2.46
ST6GAL1 246 239 332 332 1.57 1.56 0.7 0.69
ARV1 393 370 260 251 1.01 0.91 1.09 1.01
ST3GAL2 909 752 1255 1214 0.1 0.11 0.1 0.1
FAM129B 8118 6882 10843 11106 1.79 1.83 1.13 1.2
SKIL 605 503 483 426 1.27 1.25 1.84 1.81
PINK1 2074 1893 2254 2231 1.87 1.67 1.74 1.85
NOL6 1553 1385 1292 1312 2.45 2.37 1.91 1.96
SLC1A4 948 812 1159 1177 2.65 2.84 2.23 2.14
UPF3A 1333 1136 1781 1759 1.23 1.51 0.67 0.58
INTS3 3381 2972 4051 3988 1.43 1.33 0.78 0.87
WNK1 13407 11506 17329 17041 1.93 1.97 1.98 2.01
NADK 1983 1723 2413 2287 1.06 1.22 0.66 0.66
SNAI1 359 310 228 225 2.09 2.01 1.39 1.05
FSCN1 11140 9967 16785 17411 1.14 1.07 0.51 0.5
SNRNP70 7360 6413 8480 8556 1.08 1.04 0.41 0.69
SNRPD2 3637 3146 2910 2742 0.3 0.2 0.25 0.3
SNRPE 648 565 225 234 0.23 0.3 0.39 0.33
SNTA1 645 544 762 702 2.45 2.49 1.9 1.83
SNTB2 3218 2749 2011 1968 2.96 2.96 3.43 3.49
CAPN15 1183 1051 929 996 0.88 1.22 0.41 0.59
SON 6135 4991 4710 4635 1.95 1.83 2.09 2.18
SOS1 1418 1278 1574 1535 2.3 2.13 2.29 2.2
SOX4 2102 1842 3086 3068 1.6 1.53 1.73 1.73
SOX12 1089 994 1622 1718 1.59 1.54 1.09 1.07
SP2 590 513 1005 1022 1.72 1.91 0.78 1.41
DST 3763 3275 3071 2953 1.83 1.58 2.18 1.95
FOXL2 545 461 711 762 1.54 1.52 0.94 1.08
SPR 464 419 608 663 2.17 1.87 1.15 1.01
SPTBN1 13008 10822 18584 18598 0.78 0.62 0.91 0.86
SRP14 6743 5991 5247 5208 0.35 0.24 0.64 0.73
SRP68 2617 2163 1782 1687 2.33 2.41 2.8 2.54
SRP72 5605 4705 3569 3574 0.26 0.26 0.61 0.48
SRPK1 2787 2310 1897 1851 1.06 1.11 1.19 1.25
SRPK2 1257 1146 1435 1410 2.95 2.31 1.86 1.68
SSFA2 2126 1857 1233 1216 0.14 0.12 0.18 0.15
SSR2 2976 2637 1735 1726 2.13 2.08 1.5 1.34
STAT5B 3595 3199 2867 2924 0.72 0.68 1.05 0.94
HSPA13 863 676 436 415 2.39 2.43 2.9 3.09
STIM1 764 668 1094 1044 1.41 1.61 0.68 0.78
STK4 2501 2022 1364 1321 2.45 2.46 1.71 1.77
STK10 1038 917 1524 1445 1.6 1.38 2.41 2.67
BSG 10697 9246 10994 11295 0.58 0.63 0.67 0.53
SUPT4H1 504 423 380 342 1.91 1.73 1.07 1.3
SUPT6H 3028 2491 4898 4815 2.03 1.83 1.25 1.28
SVIL 3061 2722 4076 3832 0.15 0.15 0.14 0.17
TAF1 2132 1823 2240 2148 2.17 2.26 1.05 1.16
BTF3 5548 4712 3875 3739 0.32 0.26 0.28 0.23
TAP2 1281 1054 937 942 2.56 2.71 1.76 1.29
TAPBP 5576 4859 5794 5858 1.09 1.12 0.91 0.87
TBL1X 3091 2579 3823 3824 1.14 1.21 1.47 1.19
TBP 507 476 636 641 1.39 1.4 0.7 0.39
FAM86DP 284 265 365 360 1.38 1.06 2.33 1.57
TBX3 443 389 640 666 1.38 0.9 1.61 1.48
ZNF354A 251 213 156 135 0.63 0.82 1.33 1
TCF19 1361 1152 2026 2188 0.91 0.97 1.07 1.06
DYNLT1 407 340 242 235 0.28 0.23 0.64 0.58
TEAD1 4933 4161 3276 3378 0.78 0.75 0.61 0.5
TERF1 1076 950 816 818 1.43 1.08 1.42 1.61
TERF2 1326 1144 1593 1495 2.02 2.09 2.6 3.42
TFAP2A 1810 1547 2452 2524 2.18 1.91 1.4 1.32
TFE3 2278 1969 2425 2336 1.42 1.49 0.85 0.71
TFRC 4537 4012 3128 3014 1.65 1.69 1.11 1.1
KLF10 876 840 1160 1222 1.39 1.18 0.88 0.75
TIMP2 5097 4424 7585 7596 1.53 1.5 1.09 1.1
TK1 2129 1827 3220 3338 1.47 1.47 0.51 0.62
SEC62 944 750 727 689 1.18 1.1 1.25 1.27
TMOD1 440 406 1124 1021 0.8 0.64 1.09 1.28
TMSB4X 7992 6708 9185 9077 1.18 1.21 0.59 0.58
TNFAIP1 1305 1136 1688 1648 2.47 2.4 1.95 1.97
TNS1 1911 1612 2136 2232 1.4 1.88 0.74 0.68
TOP3A 1287 1110 1864 1752 1.67 1.54 1.33 1.26
TPI1 15038 12620 12142 12508 0.08 0.12 0.32 0.26
TPT1 16973 14513 12320 12008 1.63 1.66 0.98 0.89
TRAF2 2258 1904 2254 2414 1.84 1.88 1.27 1.19
TRAF5 722 602 541 563 3.1 3.07 3.38 3.37
TSPYL1 1153 968 1244 1200 2.95 2.96 2.44 2.47
TTC3 4129 3384 3521 3397 0.79 0.64 0.2 0.36
TUBA4A 3505 3098 2140 2153 1.31 1.32 0.86 0.88
TUBG1 2977 2468 2865 3020 1.6 1.5 1.14 1.02
LOC728752 978 868 1139 1212 0.96 1.01 0.52 0.51
TMEM242 161 126 96 91 1.72 1.45 1.93 2.02
TYK2 1755 1573 2309 2339 1.72 2.07 1.32 1.33
SHISA9 5363 4453 3869 3759 0.24 0.35 0.51 0.45
UBA1 13494 11622 14006 13958 0.85 0.83 0.85 0.84
MRPL49 928 899 774 762 0.37 0.34 0.9 0.82
VCP 6269 5349 6331 6249 0.42 0.65 0.59 0.52
VEGFB 750 665 798 876 2 2.12 1.47 1.31
CLIP2 871 769 1306 1288 0.77 0.78 0.58 0.57
WHSC1 6448 5377 7616 7334 1.87 2.04 1.79 1.71
NELFA 1000 843 1286 1322 1.23 1.2 0.77 0.48
WNT7B 798 642 869 932 1.89 1.87 1.5 1.24
YES1 2205 1739 1534 1568 1.48 1.73 0.68 0.78
YWHAE 13080 11164 7655 7412 0.89 0.96 1.13 0.97
SF1 3594 3041 4970 5013 1.04 1.2 0.43 0.52
ZFX 2812 2206 2056 1958 2.59 2.75 2.69 2.73
ZNF8 1728 1467 1757 1766 2.14 2.03 2.14 2.13
ZKSCAN1 2281 1929 2598 2608 2.1 1.84 2.5 2.18
ZNF37A 578 528 448 448 1.44 1.56 2.54 2.44
MZF1 562 471 636 693 1.99 1.74 1.25 0.68
ZNF76 696 566 1011 1038 2 1.92 1.22 1.11
ZNF79 173 156 254 204 0.89 1.19 1.32 1.5
ZNF121 578 532 426 406 2.01 1.8 1.94 1.96
ZNF146 1445 1189 929 930 1.24 1.31 1.76 1.81
TRIM26 1414 1234 2357 2344 2.13 2.02 1.29 1.33
ZNF180 112 94 66 64 1.04 0.58 1.61 2.14
ZNF189 152 121 210 198 2.21 1.83 2.6 3.43
ZNF217 1173 946 1452 1281 2.16 2.3 1.67 1.74
ZNF230 90 90 59 48 1.29 1.36 2.38 1.83
PRDM2 766 633 898 866 1.66 1.57 1.93 1.82
DDR1 2401 2108 4420 4550 1.96 1.87 1.32 1.3
DAP3 2674 2141 1965 1930 1.53 1.62 0.99 0.97
PXDN 22024 18931 14240 14386 1.8 1.77 1.87 1.91
CACNB3 568 492 847 805 2.68 2.71 1.97 1.92
CXCR4 1259 1060 982 952 2.49 2.44 2.38 2.45
BRPF1 1960 1710 3519 3449 1.7 1.77 1.12 0.9
MANF 902 755 603 656 1.38 1.31 1.65 1.52
C7orf49 451 388 549 549 0.97 0.87 0.36 0.51
VKORC1 334 267 216 209 1.79 1.78 1.01 1.09
C19orf43 710 595 748 778 2.02 2.08 1.55 1.67
DBNDD1 567 445 808 842 1.85 2.05 1.26 1.23
AHNAK 16838 14083 27715 27317 1.7 1.73 1.25 1.23
ZNF655 1425 1075 989 997 0.74 1.09 2.12 1.52
NABP2 854 724 946 964 1.41 1.7 0.97 0.7
DDX54 3998 3508 4265 4471 1.64 1.84 1.26 1.35
REEP5 1605 1372 1030 1021 0.54 0.52 0.79 0.64
TMEM223 309 287 198 218 2.54 2.38 2.75 2.51
ELOVL6 460 398 327 301 1.9 1.53 0.92 1.03
FASTKD3 463 393 220 181 0.33 0.33 0.46 0.57
C11orf49 1101 1005 1486 1465 1.68 1.53 1.13 1.07
RNF26 1305 1128 964 952 2.11 2.06 1.72 1.72
PPDPF 2245 1910 3275 3232 0.99 1.09 0.64 0.57
C17orf62 1067 912 1235 1206 2.58 2.65 2.19 2.21
CHPF 907 729 984 1043 0.74 0.71 0.19 0.23
MRPL24 1488 1283 1571 1640 0.48 0.35 0.57 0.61
SAP130 857 745 1099 1127 0.86 0.73 1.19 0.99
RNF219 186 196 120 144 0.76 0.97 1.27 1.52
SNRNP25 609 510 732 794 2.54 2.58 1.75 1.88
OGFRL1 258 238 314 341 2.72 2.49 2.83 2.67
C22orf46 475 447 1133 1089 0.98 0.94 2.04 2.34
CHMP6 231 194 375 344 2.27 1.95 2.34 2.36
C22orf29 1480 1253 1540 1571 1.95 1.99 1.6 1.43
ZNF322 961 785 425 477 2.11 2.05 2.36 2.3
VPS37B 665 621 956 1017 2.32 2.23 1.68 1.5
EHMT1 2865 2425 3723 3801 2.02 2.04 1.16 1.02
QSER1 3134 2548 2428 2315 0.52 0.54 0.85 1.19
GEMIN6 330 300 220 224 1.71 1.59 1.86 1.78
PIP4K2C 500 434 252 314 2.55 2.99 1.69 1.45
CPSF7 1756 1508 2097 2159 2.17 2.11 1.28 1.24
DCAKD 670 563 990 1085 1.51 1.3 0.68 0.5
ZNF672 733 640 1016 1030 1.18 0.97 0.72 0.73
NAA60 906 765 1128 1241 2.39 2.36 1.69 1.5
ATAD5 652 588 374 344 1.63 1.5 2.28 2.38
TCEAL4 1522 1323 1920 2004 0.77 0.74 1.06 0.86
KIAA0319L 1711 1484 1811 1893 1.77 1.43 1.11 0.95
L2HGDH 3351 2797 2342 2279 1.01 0.93 1.11 1.31
PLEKHH3 1048 934 1522 1699 2.21 2.24 1.48 1.43
NAA25 1555 1255 734 681 1.2 1.36 1.59 1.68
FBXL18 1683 1520 1979 2042 0.6 0.62 0.45 0.47
LRRC8E 294 264 361 376 2.15 1.86 1.28 1.26
EDC3 1246 1036 1706 1556 2.05 2 1.12 1.57
CCDC92 770 630 1320 1329 1.53 1.71 1.01 1.03
MTERF2 404 277 242 263 1.66 1.84 2.03 2.01
CCDC6 3275 2668 2576 2586 1.95 2.1 1.54 1.53
FLAD1 1344 1222 1086 1093 0.36 0.31 0.1 0.03
CXXC4 205 171 260 238 0.12 0.19 0.36 0.24
ULBP1 228 183 141 121 1.14 1.22 1.37 1.52
DNAJC5 2522 2256 3470 3552 1.25 1.22 0.77 0.64
WDR82 2688 2289 2243 2204 3.08 3.31 3.27 3.32
CD276 2173 1728 2814 2911 1.04 1.29 0.5 0.43
TTYH3 2744 2470 3301 3463 1.69 1.7 1.27 1.11
PRR3 787 637 524 550 1.74 1.86 1.65 1.65
THUMPD2 279 226 154 138 0.34 0.18 1.15 1.42
CPTP 282 241 439 454 2.25 2.1 1.66 1.68
CYB5B 2437 2089 1536 1414 1.1 1.26 1.26 1.36
CALM3 2402 2033 3754 3841 1.73 1.8 1.28 1.23
DDHD1 778 647 449 389 0.34 0.32 0.54 0.52
DUSP16 2581 2264 2073 2123 1.57 1.37 0.77 0.76
ZFP91 1228 1030 754 813 2.14 2.16 2.28 2.02
KMT2D 7000 6041 9575 9781 2.74 2.71 2.13 2.25
SH3BP5L 872 731 1116 1167 1.98 2.73 1.24 1.21
CALR 20874 17929 23022 22983 1.77 1.92 1.13 1.15
CALU 6870 5790 4931 4595 1.69 1.64 1.31 1.34
SLC7A5 24004 21041 28531 28520 1.55 1.54 1.16 1.15
PTDSS2 260 218 439 448 0.77 0.89 1.29 1.63
SYNC 161 156 436 382 0.46 0.58 1.4 1.39
HM13 1969 1670 2309 2410 1.35 1.25 0.54 0.53
SGPP1 842 710 425 418 1.95 2.02 0.81 1.15
TRIM11 673 552 791 778 2.2 2.13 1.47 1.65
NDEL1 1072 868 1349 1327 1.56 1.8 1.22 0.92
CLPB 1452 1177 1570 1616 1.87 2.12 1.5 1.43
CCDC130 481 409 565 554 3.03 2.82 2.44 2.17
GFOD2 1118 1002 893 879 1.72 1.5 1.19 1.3
PLA2G12A 653 592 442 440 0.7 0.45 1.12 0.88
NIPA2 849 781 499 460 1.68 1.44 0.7 0.93
TSC22D4 743 651 1210 1230 1.74 1.68 1.47 1.31
SF3A2 1264 1111 1680 1708 1.27 1.11 0.27 0.4
ELL 532 501 918 881 0.5 0.47 0.14 0.2
TRIM56 939 762 1064 1026 1.62 1.61 0.87 1.13
SLIRP 962 825 377 381 0.2 0.2 0.39 0.36
CABLES2 409 352 968 1011 1.92 1.86 2.12 2.11
NCOA3 2404 2035 2468 2508 1.32 1.37 0.79 0.84
DGCR14 532 482 769 841 2.26 1.95 1.62 1.62
CAPN1 1664 1521 2322 2292 1.63 1.38 0.93 0.81
ARID1A 2762 2445 4785 4837 1.93 1.98 1.56 1.43
AXIN2 352 294 405 403 1.26 1.56 2.23 2.06
FZD6 719 590 324 267 1.5 1.66 1.57 1.96
CARS 2083 1782 1614 1678 1.44 1.54 1 1.01
SF3B5 707 660 559 589 2.22 2.08 1.8 1.69
GSG1 461 403 352 333 0.36 0.49 0.73 0.98
EPPK1 1512 1272 3351 3442 2.38 2.53 1.87 1.79
THAP2 181 147 83 71 1.63 1.37 2.57 2.21
NUDT12 331 261 202 185 1.73 1.9 1.19 1.02
TMEM47 604 491 294 306 1.18 1.3 1.29 1.35
ZMIZ2 1418 1273 1684 1675 1.03 1.16 1.25 1.08
PARP9 317 232 337 357 0.68 0.58 1.14 1.05
SESN2 779 674 840 850 2.07 2.16 1.61 1.61
TRAPPC9 557 437 683 699 1.96 2.12 1.23 1.2
GRWD1 1425 1203 1477 1548 2.61 2.52 2.27 2.09
LONP2 2226 1889 1427 1449 2.15 2.21 2.4 2.3
TMTC1 1998 1664 2318 2266 2.47 2.6 3.05 2.82
RAB34 792 679 570 649 1.5 1.6 1.08 0.69
FAM234A 1398 1166 1482 1503 1.45 1.45 0.74 0.61
SLC25A11 1271 1175 912 924 1.58 1.27 1.03 0.75
OBSCN 6474 5598 9417 9425 0.26 0.31 0.19 0.14
TMEM222 315 284 388 382 1.57 1.32 1.85 1.94
FAM160A2 524 450 562 652 0.47 0.72 1.06 0.95
KBTBD7 372 327 625 636 3.04 2.79 2.91 2.77
USP42 1037 827 1118 1087 1.41 1.8 1.34 1.44
NLRC5 827 692 1023 957 0.97 1.2 2.63 1.91
C19orf44 435 366 519 507 0.32 0.32 0.35 0.36
MEX3B 89 63 216 220 1.5 2.23 2.69 2.28
MED10 462 449 334 365 1.78 1.65 1.33 1.08
LDOC1L 2292 1913 2409 2493 2.38 2.43 1.9 1.9
SLF1 1656 1396 899 861 2.47 2.56 2.62 2.56
C7orf50 1036 877 1197 1277 1.21 1.16 0.63 0.54
ELOF1 770 699 907 1035 1.13 1.09 0.58 0.42
RECK 515 432 268 294 2.98 2.31 1.34 1.64
COG8 660 555 818 777 2.39 2.46 2.65 2.52
ARFGAP2 1363 1097 1412 1444 2.32 2.26 1.39 1.3
DOT1L 2058 1779 2380 2333 2.01 2.5 0.6 0.78
DYRK2 892 716 444 504 0.81 0.92 1 0.92
SLX4 834 746 1116 1098 0.4 0.66 0.94 0.91
CUL4A 3206 2627 2071 1953 2.36 2.15 2.34 2.51
PPAPDC1B 323 254 188 180 2.23 2.35 3.31 3.2
MCM8 861 781 708 666 0.65 0.87 1.11 1.31
CUL2 818 713 490 511 2.2 1.9 0.67 0.98
CUL1 1695 1437 1271 1215 3.09 3.02 3.31 2.93
MAK16 681 567 393 364 1.11 0.97 1.63 1.18
KLF11 743 605 795 804 1.6 1.74 1.35 1.41
ZNF469 499 411 569 547 2.73 2.02 2.97 2.47
TNRC18 3580 3032 6115 6341 2.07 2.15 1.38 1.42
GLYR1 1483 1281 2388 2361 1.63 1.62 1.09 0.99
FAM126A 848 693 503 477 2.19 2.11 1.56 1.32
PPP1R9B 3207 2783 4757 4922 1.27 1.17 0.53 0.43
PRRC2B 12094 10250 18845 18961 1.74 1.76 1.34 1.39
CBX2 2185 1951 3020 3070 2.29 2.23 1.84 1.86
B3GNT9 181 182 373 343 1.22 1.18 0.14 0
SUV420H2 595 564 966 971 2.61 2.6 1.53 1.68
OFD1 605 522 698 654 0.52 0.43 0.25 0.4
C1orf198 2350 2133 1655 1768 1.36 1.42 0.94 0.75
ZNF587 2047 1781 1633 1634 1.67 1.74 1.91 1.87
PPP1R15B 5746 4898 2570 2627 2.48 2.4 2.43 2.44
MUM1 1132 992 1361 1397 1.47 1.44 1.54 1.45
ABHD13 300 262 148 115 0.68 0.66 0.34 0.49
PRPF38A 1375 1213 1070 1029 0.85 0.7 1.14 1.47
DISP1 444 319 492 458 2.41 2.46 3.19 2.81
COX14 432 364 246 235 0.82 0.88 0.92 0.86
PARG 887 719 658 600 0.95 1.07 1.29 1.31
KCNAB2 879 792 1379 1449 2.07 2.06 1.22 1.21
YBX3 6663 5742 6808 6813 0.9 0.89 1.25 1.19
SYDE1 2130 1839 2596 2635 2.59 2.68 2.12 2.22
DNAJC14 1500 1232 1539 1542 1.71 1.86 1.78 1.78
DISP2 39 41 105 113 0.88 1.39 2.06 2.51
TNKS1BP1 2403 2047 3876 4008 2.13 2.18 1.69 1.65
TANC1 1571 1273 1849 1824 1.75 1.62 1.98 2.07
FHDC1 543 495 946 1018 1.51 1.45 1.66 1.69
SSH2 846 664 1297 1320 1.76 1.84 2.11 1.96
BHLHE40 2401 2132 1808 1925 2.58 2.58 2.29 2.19
PIAS1 714 624 554 499 0.14 0.13 0.18 0.21
CDK10 1012 922 819 799 1.87 1.59 1.01 1
RRP1 1073 1005 1179 1287 2.76 2.47 2.02 1.77
CAV1 1809 1606 903 835 1.51 0.95 1.7 1.94
FAM193A 773 652 1156 1107 1.69 1.83 1.81 2.13
STC2 1696 1389 916 978 2.45 2.4 2.41 2.54
DYNLL1 3490 2979 2905 2877 2.65 2.56 2.23 2.23
EIF3A 10955 9159 13398 13303 0.43 0.39 0.21 0.19
EIF3I 3903 3468 2494 2569 0.37 0.73 0.96 0.75
PEA15 1622 1426 966 1074 0.05 0.2 0.34 0.17
HYAL2 1472 1312 1632 1670 1.93 1.97 1.64 1.65
ACTN1 4992 4376 6368 6436 1.16 1.17 0.27 0.28
B3GALT4 73 64 162 174 2.14 1.65 2.73 2.48
SERPINH1 1793 1593 2111 2059 1.33 1.25 0.85 1.05
PAGE1 759 658 533 546 0.15 0.11 0.33 0.42
NAPG 629 517 257 273 1.14 1.02 1.73 1.45
CCNK 1230 1070 1350 1409 0.23 0.28 0.34 0.33
BANF1 1626 1400 1189 1099 0.34 0.4 0.56 0.55
DCAF5 1372 1192 1684 1649 2.28 2.41 2.44 2.4
DPM2 943 822 1045 1122 1.76 1.69 1.3 1.29
CES2 1443 1206 2238 2377 2.27 2 1.04 1.34
SYNGAP1 763 674 1017 1022 2.01 1.85 1.2 1.45
IER3 1196 1111 1403 1361 2.24 2.18 1.79 1.84
MCM3AP 2353 2032 2734 2827 0.3 0.24 0.15 0.11
AP1M1 1243 1135 1830 1870 1.91 1.58 1.36 0.77
WASF1 457 366 589 589 1.79 1.55 1.33 1.22
AP3D1 4266 3685 4986 4905 1.77 1.61 0.84 1.08
HIST1H2AG 743 678 850 914 1.09 1.17 1.35 1.23
H1FX 2996 2640 3765 3853 0.47 0.45 0.48 0.41
NAV1 1572 1453 1920 1924 0.2 0.18 0.13 0.12
LHX4 183 149 217 256 1.84 1.96 1.37 1.34
WDR34 2576 2188 2783 2797 0.96 1.01 1.07 1.13
CCNF 1623 1358 1658 1670 2.58 2.68 2.22 2.07
SAPCD2 1394 1289 933 1042 1.68 1.67 2.04 1.89
PHLDB2 4655 3961 5390 5326 1.83 1.93 1.5 1.44
C9orf69 918 823 1225 1323 2.38 2.41 1.8 1.77
TAF1C 980 822 1172 1101 2.48 2.53 1.8 2.06
KLHL13 701 526 394 393 0.32 0.37 0.36 0.34
BAZ1B 4538 3927 5434 5450 1.08 1.01 1.12 0.85
FAM110B 256 217 432 386 2.57 2.64 3.07 2.96
TICRR 1145 915 1278 1291 1.74 1.61 0.93 0.98
MCFD2 2379 2018 1735 1650 1.36 1.33 1.35 1.39
BMF 413 336 1165 1185 1.96 2.28 2.39 2.29
